,index,title,gov_link,details
189,190,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
190,191,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
191,192,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
192,193,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
193,194,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
194,195,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
195,196,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
196,197,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
197,198,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
198,199,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
199,200,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
200,201,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
201,202,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
